deploy_id,service,commit_sha,commit_time,deploy_time,environment,status,restored_at,lead_time_hours
D001,portal-transacciones,6890246,2026-07-13T11:53:17-05:00,2026-07-16T12:13:14-05:00,production,success,,72.33
D002,portal-transacciones,64db1c8,2026-07-16T01:49:26-05:00,2026-07-18T16:09:03-05:00,production,success,,62.33
D003,portal-transacciones,9291ac3,2026-07-14T04:10:44-05:00,2026-07-19T18:31:55-05:00,production,failed,2026-07-20T20:10:51-05:00,134.35
D004,portal-transacciones,816cce0,2026-07-15T08:31:39-05:00,2026-07-21T12:49:48-05:00,production,success,,148.3
D005,portal-transacciones,ff87b4a,2026-07-18T14:44:40-05:00,2026-07-22T14:08:30-05:00,production,success,,95.4
D006,portal-transacciones,962ff89,2026-07-20T20:10:37-05:00,2026-07-24T11:07:21-05:00,production,success,,86.95
D007,portal-transacciones,62581ed,2026-07-23T04:05:46-05:00,2026-07-25T12:54:59-05:00,production,success,,56.82
D008,portal-transacciones,38fcbd5,2026-07-21T16:06:17-05:00,2026-07-27T15:25:43-05:00,production,failed,2026-07-29T18:57:44-05:00,143.32
D009,portal-transacciones,63a82df,2026-07-23T08:24:44-05:00,2026-07-29T15:49:41-05:00,production,success,,151.42
D010,portal-transacciones,da6572b,2026-07-28T03:03:57-05:00,2026-07-30T18:05:32-05:00,production,success,,63.03
D011,portal-transacciones,dcae749,2026-07-26T19:55:42-05:00,2026-08-01T13:20:21-05:00,production,failed,2026-08-02T18:22:15-05:00,137.41
D012,portal-transacciones,7530c84,2026-07-31T02:01:31-05:00,2026-08-02T12:46:19-05:00,production,success,,58.75
D013,portal-transacciones,8226bba,2026-08-02T07:08:23-05:00,2026-08-04T11:04:18-05:00,production,failed,2026-08-05T22:25:30-05:00,51.93
D014,portal-transacciones,778c268,2026-08-02T04:27:34-05:00,2026-08-05T16:03:39-05:00,production,success,,83.6
D015,portal-transacciones,4d47ab8,2026-08-01T05:34:38-05:00,2026-08-07T18:48:48-05:00,production,success,,157.24
D016,portal-transacciones,cf716ff,2026-08-07T00:22:13-05:00,2026-08-09T12:55:34-05:00,production,success,,60.56
D017,portal-transacciones,31e0866,2026-08-08T08:57:56-05:00,2026-08-11T15:34:29-05:00,production,success,,78.61
D018,portal-transacciones,1c61303,2026-08-09T17:53:04-05:00,2026-08-12T14:45:16-05:00,production,success,,68.87
D019,portal-transacciones,968b9c3,2026-08-11T16:41:48-05:00,2026-08-14T10:58:48-05:00,production,success,,66.28
D020,portal-transacciones,d743fc9,2026-08-09T18:39:06-05:00,2026-08-15T11:15:59-05:00,production,failed,2026-08-17T11:22:25-05:00,136.61
D021,portal-transacciones,85bde61,2026-08-13T23:23:44-05:00,2026-08-17T15:46:25-05:00,production,success,,88.38
D022,portal-transacciones,0b5800a,2026-08-13T20:31:04-05:00,2026-08-18T18:40:54-05:00,production,success,,118.16
D023,portal-transacciones,809558f,2026-08-16T09:52:06-05:00,2026-08-20T09:43:46-05:00,production,success,,95.86
D024,portal-transacciones,9798d72,2026-08-15T15:08:33-05:00,2026-08-21T17:49:33-05:00,production,success,,146.68
D025,portal-transacciones,2d1f8e9,2026-08-18T09:09:33-05:00,2026-08-23T12:45:54-05:00,production,success,,123.61
